epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.82076,1.28794,3.97913,1.24078,0.80975,0.14864,0.1601,0.11377,0.9844,10.5946,1.24001,0.00030303,0.00030303,0.00030303
2,16.2118,1.11165,1.70438,1.11312,0.6408,0.3651,0.31307,0.21362,1.13021,3.47743,1.18525,0.000623764,0.000623764,0.000623764
3,22.4854,1.04695,0.90406,1.02929,0.79505,0.64281,0.61275,0.45092,0.99179,1.63963,1.07777,0.000931297,0.000931297,0.000931297
4,33.3192,1.07631,0.85722,1.07607,0.76505,0.66383,0.7182,0.51627,0.9829,1.10686,1.13274,0.0009406,0.0009406,0.0009406
5,41.0808,1.00182,0.77759,1.0473,0.63421,0.80527,0.71457,0.54176,0.90234,1.38266,1.05984,0.0009208,0.0009208,0.0009208
6,47.6361,0.96188,0.70485,1.02487,0.62975,0.62052,0.58297,0.42937,1.04888,3.60029,1.14831,0.000901,0.000901,0.000901
7,53.3848,0.91858,0.60016,1.00765,0.55943,0.58154,0.59819,0.4505,1.00152,2.19959,1.08855,0.0008812,0.0008812,0.0008812
8,58.9284,0.89749,0.56953,0.97977,0.77345,0.89061,0.79947,0.62586,0.84739,0.62901,1.00695,0.0008614,0.0008614,0.0008614
9,65.3274,0.87429,0.53679,0.98194,0.97344,0.87445,0.94851,0.74052,0.85585,0.55101,1.0032,0.0008416,0.0008416,0.0008416
10,71.1726,0.91812,0.55149,0.97538,0.90792,0.84709,0.92071,0.6964,0.83142,0.51201,0.97694,0.0008218,0.0008218,0.0008218
11,77.2931,0.87496,0.51248,0.98276,0.86802,0.85165,0.93238,0.66668,0.89303,0.55026,0.98903,0.000802,0.000802,0.000802
12,83.3346,0.86982,0.49718,0.98218,0.97379,0.90045,0.97939,0.78191,0.80485,0.46135,0.96188,0.0007822,0.0007822,0.0007822
13,89.5185,0.81253,0.47561,0.95449,0.95756,0.95283,0.97767,0.80492,0.77142,0.4407,0.96135,0.0007624,0.0007624,0.0007624
14,95.7008,0.7925,0.49525,0.94441,0.97653,0.97878,0.9865,0.79365,0.78623,0.43982,0.985,0.0007426,0.0007426,0.0007426
15,101.703,0.82176,0.46644,0.96905,0.97832,0.97899,0.98557,0.79166,0.77437,0.42799,0.96402,0.0007228,0.0007228,0.0007228
16,107.693,0.80971,0.47133,0.96348,0.97261,0.96792,0.98364,0.80241,0.76855,0.41662,0.96693,0.000703,0.000703,0.000703
17,113.786,0.78291,0.44452,0.93449,0.97586,0.97549,0.98969,0.78757,0.79666,0.42109,0.98882,0.0006832,0.0006832,0.0006832
18,119.695,0.78707,0.43425,0.95576,0.97908,0.98638,0.99087,0.81923,0.74247,0.38786,0.95583,0.0006634,0.0006634,0.0006634
19,125.194,0.78152,0.42608,0.94804,0.98097,0.98634,0.99244,0.81576,0.77015,0.38957,0.97433,0.0006436,0.0006436,0.0006436
20,130.942,0.78122,0.43046,0.9488,0.97482,0.98548,0.9871,0.81776,0.75235,0.39301,0.95752,0.0006238,0.0006238,0.0006238
21,137.163,0.76799,0.41106,0.93317,0.98152,0.98628,0.99128,0.83033,0.74754,0.3769,0.95216,0.000604,0.000604,0.000604
22,143.228,0.7763,0.41671,0.93999,0.97881,0.99181,0.99403,0.82891,0.73885,0.36645,0.94846,0.0005842,0.0005842,0.0005842
23,149.069,0.74485,0.40132,0.94312,0.98023,0.99177,0.99362,0.8489,0.69405,0.35094,0.92443,0.0005644,0.0005644,0.0005644
24,154.621,0.74967,0.39465,0.93916,0.97683,0.99589,0.99473,0.85469,0.69519,0.34119,0.92464,0.0005446,0.0005446,0.0005446
25,160.221,0.73021,0.38604,0.92392,0.98564,0.98989,0.99473,0.84011,0.69621,0.3413,0.93309,0.0005248,0.0005248,0.0005248
26,165.698,0.73974,0.38984,0.92562,0.98639,0.9892,0.9946,0.85458,0.6707,0.33494,0.9225,0.000505,0.000505,0.000505
27,171.123,0.70749,0.37062,0.9113,0.99067,0.98873,0.99471,0.8662,0.66435,0.3303,0.91736,0.0004852,0.0004852,0.0004852
28,176.669,0.71732,0.37951,0.92866,0.99221,0.98608,0.99467,0.8621,0.63931,0.31561,0.9076,0.0004654,0.0004654,0.0004654
29,182.088,0.69587,0.37656,0.90743,0.99329,0.98229,0.99465,0.86774,0.64908,0.32213,0.90394,0.0004456,0.0004456,0.0004456
30,190.006,0.70756,0.37429,0.91555,0.99448,0.98423,0.99476,0.8726,0.61285,0.31099,0.89688,0.0004258,0.0004258,0.0004258
31,195.64,0.66256,0.35135,0.90321,0.98865,0.99373,0.99454,0.88447,0.59055,0.30744,0.88577,0.000406,0.000406,0.000406
32,204.414,0.68589,0.36268,0.91991,0.99249,0.995,0.99489,0.88867,0.58818,0.3008,0.88436,0.0003862,0.0003862,0.0003862
33,210.751,0.67514,0.35706,0.90019,0.99182,0.99113,0.99472,0.87733,0.59472,0.30542,0.89031,0.0003664,0.0003664,0.0003664
34,216.191,0.63366,0.33777,0.89961,0.99187,0.98972,0.99466,0.8941,0.57821,0.29249,0.87907,0.0003466,0.0003466,0.0003466
35,221.752,0.6467,0.34534,0.89641,0.98972,0.99016,0.99475,0.8935,0.5819,0.2993,0.88085,0.0003268,0.0003268,0.0003268
36,227.207,0.63399,0.33298,0.89287,0.99103,0.9895,0.99476,0.89363,0.57185,0.29671,0.87592,0.000307,0.000307,0.000307
37,233.817,0.61569,0.33033,0.89142,0.9918,0.99405,0.99488,0.90521,0.55609,0.28689,0.87558,0.0002872,0.0002872,0.0002872
38,239.535,0.63327,0.33209,0.88745,0.99054,0.99592,0.99492,0.91033,0.54587,0.28088,0.86642,0.0002674,0.0002674,0.0002674
39,245.25,0.61896,0.32932,0.89361,0.9938,0.99456,0.99492,0.90588,0.53047,0.28198,0.86396,0.0002476,0.0002476,0.0002476
40,250.856,0.62126,0.32695,0.88046,0.99486,0.99453,0.99495,0.90989,0.53422,0.27449,0.86234,0.0002278,0.0002278,0.0002278
41,262.18,0.56917,0.29671,0.86668,0.9885,0.99678,0.99496,0.91009,0.52877,0.27032,0.86302,0.000208,0.000208,0.000208
42,267.613,0.563,0.2945,0.86862,0.98633,0.99684,0.99497,0.91625,0.51789,0.26873,0.85976,0.0001882,0.0001882,0.0001882
43,273.076,0.5767,0.29357,0.86647,0.98847,0.99699,0.995,0.92104,0.52099,0.26894,0.86073,0.0001684,0.0001684,0.0001684
44,278.614,0.55879,0.28638,0.86838,0.99399,0.99185,0.99499,0.91186,0.50587,0.2597,0.85497,0.0001486,0.0001486,0.0001486
45,284.059,0.53656,0.27556,0.85649,0.99432,0.99231,0.99499,0.92525,0.47924,0.25337,0.84672,0.0001288,0.0001288,0.0001288
46,289.524,0.54249,0.28039,0.87041,0.99201,0.99886,0.995,0.9278,0.47188,0.25012,0.84453,0.000109,0.000109,0.000109
47,295.081,0.52929,0.27352,0.84867,0.99381,0.99794,0.99499,0.92871,0.45922,0.24795,0.84042,8.92e-05,8.92e-05,8.92e-05
48,300.576,0.5136,0.26681,0.85129,0.99467,0.9967,0.995,0.92932,0.45237,0.24495,0.83823,6.94e-05,6.94e-05,6.94e-05
49,306.036,0.51518,0.26549,0.85222,0.99385,0.99802,0.995,0.93097,0.44743,0.24195,0.83711,4.96e-05,4.96e-05,4.96e-05
50,311.651,0.50148,0.26772,0.84152,0.99358,0.99799,0.995,0.93414,0.43654,0.23927,0.83363,2.98e-05,2.98e-05,2.98e-05
